#Line   Symbol
3729.309 ArII   
3737.889 ArII   
3765.55  ArIIb   
3803.172 ArII   
3834.679 ArI    
3850.581 ArII   
3868.528 ArII   
3891.980 ArII   
3925.719 ArII   
3928.623 ArII   
3932.547 ArII   
3946.097 ArII   
3948.979 ArI    
3979.356 ArII   
3994.792 ArII   
4013.857 ArII   
4034.63  ArIIb   
4044.418 ArI    
4052.921 ArII   
4072.11  ArIIb   
4079.574 ArII   
4103.912 ArII   
4131.724 ArII   
4158.591 ArI    
4164.180 ArI    
4181.884 ArI    
4190.37  ArIb    
4198.317 ArI    
4200.675 ArI    
4218.25  ArIIb   
4222.637 ArII   
4227.77  ArIIb   
4237.220 ArII   
4251.185 ArI    
4259.362 ArI    
4266.41  Ar b    
4272.169 ArI    
4277.528 ArII   
4282.898 ArII   
4300.101 ArIw   
4309.239 ArII   
4331.200 ArIIw  
4333.561 ArI    
4345.168 ArI    
4348.064 ArII
4352.205 ArII
4362.066 ArII
4367.832 ArII
4370.753 ArII
4375.954 ArII
4379.667 ArII
4385.057 ArII
4400.76  ArIIb
4426.001 ArII
4430.189 ArII
4433.838 ArII
4439.61  ArIIb
4448.879 ArII
4474.759 ArII
4481.811 ArII
4490.982 ArII
4498.538 ArII
4502.927 ArII
4510.733 ArI 
4522.323 ArI 
4530.552 ArII
4545.052 ArII
4563.743 ArII
4579.350 ArII
4589.899 ArII
4596.097 ArI 
4598.763 ArII
4609.567 ArII
4628.441 ArI 
4637.233 ArII
4657.901 ArII
4702.316 ArI 
4721.591 ArII
4726.868 ArII
4732.053 ArII
4735.906 ArII
4764.865 ArII
4806.021 ArII
4847.810 ArII
4865.911 ArII
4876.261 ArI 
4879.864 ArII
4889.042 ArII
4904.752 ArII 
4933.209 ArII 
4965.080 ArII 
4972.160 ArII 
5009.334 ArII 
5017.163 ArII 
5048.813 ArI  
5054.178 ArI  
5062.037 ArII 
5090.495 ArII 
5105.541 CuI  
5118.202 ArI  
5125.765 ArII 
5141.783 ArII 
5145.308 ArII 
5151.391 ArI  
5162.285 ArI  
5165.773 ArII 
5177.540 ArI  
5187.746 ArI  
5214.77  ArI  
5218.202 CuI  
5221.271 ArI  
5252.788 ArI  
5264.782 ArII 
5286.887 ArII 
5292.517 CuI  
5305.688 ArII 
5347.412 ArI  
5358.363 ArII 
5373.494 ArI  
5393.560 ArII 
5397.516 ArII 
5402.605 ArII 
5407.344 ArII 
5410.473 ArI  
5421.352 ArI  
5439.989 ArI  
5443.24  ArI  
5451.652 ArI  
5457.416 ArI  
5467.161 ArI  
5473.452 ArI  
5490.119 ArI  
5495.874 ArI   
5506.113 ArI   
5524.957 ArI   
5528.93  ArI   
5534.45  ArI   
5540.90  ArI   
5554.050 ArII  
5558.702 ArI   
5572.541 ArI   
5577.685 ArII  
5581.871 ArI   
5588.720 ArI   
5597.476 ArI   
5601.122 ArI   
5606.733 ArI   
5618.010 ArII  
5623.778 ArII  
5641.375 ArI   
5650.704 ArIw 
5659.127 ArI   
5681.900 ArI   
5689.91  ArIw 
5700.873 ArI   
5739.520 ArI   
5772.114 ArI   
5782.130 CuIw 
5786.555 ArII  
5789.474 ArI   
5802.080 ArI   
5834.263 ArI   
5860.310 ArI   
5882.624 ArI   
5888.584 ArI   
5912.085 ArI   
5916.599 ArI   
5928.813 ArI   
5942.669 ArI   
5949.258 ArI   
5964.472 ArI   
5968.320 ArI   
5971.601 ArI   
5987.302 ArI   
5998.999 ArI   
6005.724 ArI
6013.678 ArI     
6025.150 ArI     
6032.127 ArI     
6043.223 ArI     
6052.723 ArI     
6059.373 ArI      
6064.751 ArI     
6081.243 ArI     
6085.880 ArI     
6090.785 ArI     
6098.803 ArI     
6105.635 ArI     
6114.923 ArII    
6119.657 ArI     
6123.362 ArII    
6127.84 ArI b    
6138.656 ArII    
6142.05 ArI      
6145.441 ArI     
6155.239 ArI     
6165.123 ArI     
6170.174 ArI     
6172.60 Ar b     
6179.419 ArI     
6187.135 ArII    
6201.100 ArII    
6212.503 ArI     
6215.938 ArI     
6243.120 ArII    
6248.406 ArI     
6278.645 ArI  
6296.872 ArI  
6307.657 ArI  
6324.416 ArII 
6333.146 ArII 
6357.15  ArIIb
6364.894 ArI  
6369.575 ArI  
6384.717 ArI  
6403.013 ArII 
6416.307 ArI  
6431.555 ArI  
6442.75  ArIIb
6466.553 ArI  
6483.083 ArII 
6493.969 ArI  
6499.106 ArI  
6538.112 ArI  
6595.114 ArI  
6604.853 ArI  
6632.084 ArI  
6638.70  ArIIb
6643.698 ArII 
6656.939 ArI  
6660.676 ArI  
6664.051 ArI  
6666.359 ArII 
6677.282 ArI  
6684.293 ArII 
6698.876 ArI  
6719.218 ArI 
6722.890 ArI 
6752.834 ArI 
6756.163 ArI 
6766.612 ArI 
6779.933 ArI 
6818.291 ArI 
6827.249 ArI 
6861.269 ArII
6871.289 ArI 
6879.582 ArI 
6887.81  ArIb
6937.664 ArI 
6951.478 ArI 
6965.431 ArI 
7030.251 ArI 
7067.218 ArI 
7086.704 ArI 
7107.478 ArI 
7125.820 ArI 
7147.042 ArI 
7158.839 ArI 
7206.980 ArI 
7265.172 ArI 
7272.936 ArI 
7311.716 ArI 
7316.005 ArI 
7353.293 ArI 
7372.118 ArI 
7383.981 ArI 
7392.980 ArI 
7435.368 ArI 
7503.869 ArI 
7514.652 ArI 
7635.106 ArI 
7723.98  ArIb
7851.075 ArI 
7948.176 ArI 
8006.157 ArI 
8014.786 ArI 
8053.309 ArI 
8103.693 ArI 
8115.311 ArI 
8264.522 ArI 
8384.724 ArI 
8392.28  ArI 
8408.210 ArI 
8424.647 ArI 
8521.442 ArI 
8605.776 ArI 
8620.460 ArI 
8667.944 ArI 
8761.686 ArI 
9122.967 ArI 
9194.639 ArI 
9224.499 ArI 
9291.531 ArI 
9354.220 ArI 
9657.786 ArI 
9784.503 ArI 
