#nome		ra       	dec		mag_R
gd71.dat	05:52:27.51	+15:53:16.6	13.03
gd153.dat	12:57:02.37	+22:01:56.0	13.346
vma2.dat	00:49:09.89	+05:23:19.0	12.38
feige110.dat	23:19:58.4	-05:09:56      11.82
ltt9491.dat	23:19:35.0	-17:05:30      99.99
eg131.dat	19:20:34.9	-07:40:00	12.28
l745a.dat	07:40:20.79	-17:24:49.1	13.03
l1363a.dat	21:40:22.5	+20:46:46	99.99
#####################################################
bd253941.dat	19:42:21.9	+26:06:01	xx
bd404032.dat	20:06:40.0	+41:06:15	xx
bd25d4655.dat	21:59:42.02	+26:25:58.1    9.76
bd28d4211.dat	21:51:11.1	+28:51:52      10.51
bd33d2642.dat	15:51:59.86	+32:56:54.8    10.81
bd75d325.dat	08:10:49.31	+74:57:57.5    9.54
cd32d9927.dat	14:11:46.37	-33:03:14.3    10.42
eg21.dat	03:10:30.98	-68:36:02.2    11.38
eg274.dat	16:23:33.75	-39:13:47.5    11.03
feige34.dat	10:39:36.71	+43:06:10.1    11.18
feige56.dat	12:06:47.3	+11:40:13      11.06
feige66.dat	12:37:23.55	+25:04:00.3    10.50
feige67.dat 	12:41:51.83	+17:31:20.5    11.81
g138_31.dat	16:27:53.6	+09:12:24      16.14
g158_100.dat	00:33:54.32	-12:07:57.1    14.89
g191b2b.dat	05:05:30.6	+52:49:56      11.71
g193_74.dat	07:53:27.4	+52:29:36      15.70
g24_9.dat	20:13:56.05	+06:42:55.2    15.72
g60_54.dat	13:00:09.53	+03:28:55.7    15.81
gd108.dat	10:00:47.3	-07:33:31      13.56
gd248.dat	23:26:06.69	+16:00:21.4    15.09
gd50.dat	03:48:50.06	-00:58:30.4    14.06
grw70d5824.dat	13:38:51.77	+70:17:08.5    99.99
hd93521.dat	10:48:23.51	+37:34:12.8    7.04
hilt600.dat	06:45:13.5	+02:08:15      10.44
hilt102.dat	01:05:53.7	+62:31:31      99.99
hr1544.dat	04:50:36.69	+08:54:00.7    4.36
hr3454.dat	08:43:13.46	+03:23:55.1    99.99
hr4468.dat	11:36:40.91	-09:48:08.2    99.99
hr4963.dat	13:09:56.96	-05:32:20.5    99.99
hr5501.dat	14:45:30.25	+00:43:02.7    99.99
hr718.dat	02:28:09.54	+08:27:36.2    99.99
hr7596.dat	19:54:44.80	+00:16:24.6    99.99
hr7950.dat	20:47:40.55	-09:29:44.7    99.99
hr8634.dat	22:41:27.64	+10:49:53.2    99.99
hr9087.dat	00:01:49.42	-03:01:39.0    99.99
hz21.dat	12:13:56.4	+32:56:31      99.99
hz44.dat	13:23:35.37	+36:07:60.0    99.99
hz4.dat 	03:55:21.70	+09:47:18.7    99.99
ltt1020.dat	01:54:49.68	-27:28:29.7    99.99
ltt1788.dat	03:48:22.17	-39:08:33.6    99.99
ltt2415.dat	05:56:24.30	-27:51:28.8    99.99
ltt3218.dat	08:41:33.6	-32:56:55      99.99
ltt377.dat	00:41:46.6	-33:39:10      99.99
ltt3864.dat	10:32:13.8	-35:37:42      99.99
ltt4364.dat	11:43:36.6	-64:50:24      11.51
ltt4816.dat	12:38:50.7	-49:47:58      99.99
ltt6248.dat	15:39:00.02	-28:35:33.1    99.99
ltt7379.dat	18:36:26.2	-44:18:37      99.99
ltt7987.dat	20:10:57.1	-30:13:03      99.99
ltt9239.dat	22:52:40.9	-20:35:27      99.99
ngc7293.dat	22:29:38.46	-20:50:13.3    99.99
sa95_42.dat	03:53:43.67	-00:04:33.0    99.99
bd262606.dat	14:46:50.2	+25:54:53      99.99
bd174708.dat	22:09:05.8	+17:50:42      99.99
hd84937.dat	09:46:12.0	+13:59:17.0    99.99
